,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,0,date,0.1,0.2,0.3,0
ALLO,,,,,,2023-01-31,,,,-19
ALT,,,,,,2023-01-31,,,,-11
ALVR,,,,,,2023-01-31,,,,-26
AMAL,,,,,,2023-01-31,,,,28
AMKR,,,,,,2023-01-31,,,,21
AMRK,,,,,,2023-01-31,,,,16
AMSC,,,,,,2023-01-31,,,,-29
AMWD,,,,,,2023-01-31,,,,11
ANNX,,,,,,2023-01-31,,,,-21
ANVS,,,,,,2023-01-31,,,,-8
AOMR,,,,,,2023-01-31,,,,-18
APEN,,,,,,2023-01-31,,,,-15
APLS,,,,,,2023-01-31,,,,-2
APOG,,,,,,2023-01-31,,,,13
APP,,,,,,2023-01-31,,,,-11
APPN,,,,,,2023-01-31,,,,-3
ARCT,,,,,,2023-01-31,,,,-7
ARLP,,,,,,2023-01-31,,,,26
AROW,,,,,,2023-01-31,,,,19
ARQT,,,,,,2023-01-31,,,,-9
ARVN,,,,,,2023-01-31,,,,-4
ARW,,,,,,2023-01-31,,,,5
ARWR,,,,,,2023-01-31,,,,-4
ASAN,,,,,,2023-01-31,,,,-9
ASPN,,,,,,2023-01-31,,,,-15
ATEC,,,,,,2023-01-31,,,,-11
ATLO,,,,,,2023-01-31,,,,26
ATOM,,,,,,2023-01-31,,,,-21
ATSG,,,,,,2023-01-31,,,,22
ATXS,,,,,,2023-01-31,,,,-10
AUPH,,,,,,2023-01-31,,,,-16
AURA,,,,,,2023-01-31,,,,-14
AVT,,,,,,2023-01-31,,,,13
AXL,,,,,,2023-01-31,,,,72
AXSM,,,,,,2023-01-31,,,,-2
AYX,,,,,,2023-01-31,,,,-2
BANR,,,,,,2023-01-31,,,,10
BCBP,,,,,,2023-01-31,,,,35
BCC,,,,,,2023-01-31,,,,8
BEAM,,,,,,2023-01-31,,,,-3
BECN,,,,,,2023-01-31,,,,11
BERY,,,,,,2023-01-31,,,,10
BGS,,,,,,2023-01-31,,,,-10
BGSF,,,,,,2023-01-31,,,,42
BIG,,,,,,2023-01-31,,,,-9
BIGC,,,,,,2023-01-31,,,,-12
BL,,,,,,2023-01-31,,,,-2
BLZE,,,,,,2023-01-31,,,,-21
BPMC,,,,,,2023-01-31,,,,-3
BRY,,,,,,2023-01-31,,,,70
BRZE,,,,,,2023-01-31,,,,-4
BSVN,,,,,,2023-01-31,,,,22
BTAI,,,,,,2023-01-31,,,,-5
BWFG,,,,,,2023-01-31,,,,21
BXC,,,,,,2023-01-31,,,,7
BZH,,,,,,2023-01-31,,,,39
CAL,,,,,,2023-01-31,,,,24
CBAY,,,,,,2023-01-31,,,,-18
CBNK,,,,,,2023-01-31,,,,28
CCCC,,,,,,2023-01-31,,,,-18
CCS,,,,,,2023-01-31,,,,10
CDLX,,,,,,2023-01-31,,,,-21
CDNA,,,,,,2023-01-31,,,,-10
CDXS,,,,,,2023-01-31,,,,-24
CELC,,,,,,2023-01-31,,,,-14
CFLT,,,,,,2023-01-31,,,,-6
CGBD,,,,,,2023-01-31,,,,39
CHCO,,,,,,2023-01-31,,,,6
CHMG,,,,,,2023-01-31,,,,12
CHS,,,,,,2023-01-31,,,,120
CION,,,,,,2023-01-31,,,,54
CIVI,,,,,,2023-01-31,,,,9
CKPT,,,,,,2023-01-31,,,,-30
CLW,,,,,,2023-01-31,,,,16
CMC,,,,,,2023-01-31,,,,11
CNK,,,,,,2023-01-31,,,,-12
CONN,,,,,,2023-01-31,,,,-15
COUP,,,,,,2023-01-31,,,,-1
CPS,,,,,,2023-01-31,,,,-9
CPSS,,,,,,2023-01-31,,,,62
CRNC,,,,,,2023-01-31,,,,-6
CULP,,,,,,2023-01-31,,,,-28
CUTR,,,,,,2023-01-31,,,,-4
CVCY,,,,,,2023-01-31,,,,25
CVLG,,,,,,2023-01-31,,,,19
CVLY,,,,,,2023-01-31,,,,26
CXW,,,,,,2023-01-31,,,,56
DFH,,,,,,2023-01-31,,,,79
DMRC,,,,,,2023-01-31,,,,-7
DNOW,,,,,,2023-01-31,,,,47
DRS,,,,,,2023-01-31,,,,59
DSEY,,,,,,2023-01-31,,,,-25
DXPE,,,,,,2023-01-31,,,,21
EAF,,,,,,2023-01-31,,,,-23
EB,,,,,,2023-01-31,,,,-17
EBF,,,,,,2023-01-31,,,,30
EDIT,,,,,,2023-01-31,,,,-14
EGLE,,,,,,2023-01-31,,,,11
EHTH,,,,,,2023-01-31,,,,-18
ENVA,,,,,,2023-01-31,,,,13
EOLS,,,,,,2023-01-31,,,,-14
EQBK,,,,,,2023-01-31,,,,21
ESNT,,,,,,2023-01-31,,,,14
ESQ,,,,,,2023-01-31,,,,14
ESTA,,,,,,2023-01-31,,,,-2
ESTC,,,,,,2023-01-31,,,,-2
ESTE,,,,,,2023-01-31,,,,45
ETD,,,,,,2023-01-31,,,,22
EVBN,,,,,,2023-01-31,,,,15
FATE,,,,,,2023-01-31,,,,-24
FBIZ,,,,,,2023-01-31,,,,18
FBNC,,,,,,2023-01-31,,,,16
FBP,,,,,,2023-01-31,,,,48
FCBC,,,,,,2023-01-31,,,,19
FDBC,,,,,,2023-01-31,,,,13
FENC,,,,,,2023-01-31,,,,-15
FET,,,,,,2023-01-31,,,,18
FF,,,,,,2023-01-31,,,,67
FGEN,,,,,,2023-01-31,,,,-6
FHI,,,,,,2023-01-31,,,,16
FHTX,,,,,,2023-01-31,,,,-17
FIGS,,,,,,2023-01-31,,,,-15
FIVN,,,,,,2023-01-31,,,,-1
FLWS,,,,,,2023-01-31,,,,-14
FMNB,,,,,,2023-01-31,,,,42
FREQ,,,,,,2023-01-31,,,,-29
FSBW,,,,,,2023-01-31,,,,18
FSLY,,,,,,2023-01-31,,,,-14
FSTX,,,,,,2023-01-31,,,,-25
FTDR,,,,,,2023-01-31,,,,-5
FTHM,,,,,,2023-01-31,,,,-29
FVCB,,,,,,2023-01-31,,,,36
GABC,,,,,,2023-01-31,,,,16
GDRX,,,,,,2023-01-31,,,,-27
GES,,,,,,2023-01-31,,,,27
GFF,,,,,,2023-01-31,,,,-3
GH,,,,,,2023-01-31,,,,-4
GHLD,,,,,,2023-01-31,,,,54
